Mode,AtomIndex,dx,dy,dz
6,17,-0.0199,0.0199,-0.0199
6,18,-0.0,0.0199,-0.0298
6,19,0.0099,0.0398,-0.0398
6,20,0.0099,0.0298,-0.0298
6,21,-0.0099,-0.0298,0.0696
6,22,0.0199,0.0597,-0.0298
6,23,-0.0199,-0.0398,0.0099
6,24,-0.0,0.0497,-0.0298
6,25,-0.0497,-0.1193,0.0796
6,26,0.0,-0.0099,-0.0199
6,27,-0.0099,0.0298,0.0696
6,28,0.0199,-0.0597,-0.0298
6,29,-0.0,-0.0497,-0.0298
6,30,-0.0199,0.0994,0.1392
6,31,-0.0398,0.179,0.2287
6,32,0.0,0.0696,0.1193
6,33,-0.0099,0.1392,0.1889
6,34,0.0298,-0.0497,-0.0099
6,35,0.0497,-0.0796,-0.0398
6,36,0.0398,-0.1293,-0.0895
6,37,0.0696,-0.2188,-0.179
6,38,0.0199,-0.0796,-0.0398
6,39,0.0298,-0.1193,-0.0994
6,40,0.0597,-0.2088,-0.179
6,41,0.0099,-0.0696,-0.0497
6,42,-0.0,-0.0597,-0.0398
6,43,-0.0099,-0.0597,-0.0497
6,44,-0.0099,-0.0597,-0.0497
6,45,-0.0099,-0.0298,-0.0398
6,46,-0.0199,-0.0199,-0.0199
6,47,-0.0,-0.0199,-0.0298
6,48,0.0099,-0.0398,-0.0398
6,49,0.0099,-0.0298,-0.0298
6,50,-0.0199,0.0398,0.0099
6,51,-0.0497,0.1193,0.0796
6,52,0.0,0.0099,-0.0199
6,53,-0.0199,0.0,0.0497
7,1,-0.0201,-0.1404,0.1003
7,2,-0.0401,-0.2207,0.1805
7,3,-0.0201,-0.1404,0.1103
7,4,-0.0401,-0.2307,0.1906
7,5,0.0,-0.0301,0.0
7,6,0.0,-0.0201,-0.01
7,7,0.0201,0.0702,-0.0903
7,8,0.0401,0.1605,-0.1705
7,9,0.0201,0.0501,-0.0702
7,10,0.0301,0.1103,-0.1204
7,11,0.0501,0.1805,-0.1906
7,12,0.0201,0.0501,-0.0602
7,13,0.0201,0.0401,-0.0501
7,14,0.0401,0.0602,-0.0602
7,15,0.0401,0.0602,-0.0702
7,16,0.0301,0.0501,-0.0401
7,17,0.0401,0.0501,-0.0401
7,18,0.0201,0.0301,-0.0201
7,19,0.01,0.0301,-0.0301
7,20,-0.0,0.01,-0.01
7,21,-0.0,-0.0401,0.01
7,22,0.0201,0.0501,-0.0602
7,23,0.0,-0.0201,0.0501
7,24,0.0201,0.01,-0.0301
7,25,0.0201,0.0201,0.01
7,26,-0.0301,-0.1103,0.1404
7,27,0.0,-0.0401,-0.01
7,28,-0.0201,0.0501,0.0602
7,29,-0.0201,0.01,0.0301
7,30,0.0201,-0.1404,-0.1003
7,31,0.0401,-0.2106,-0.1705
7,32,0.0201,-0.1404,-0.1103
7,33,0.0401,-0.2307,-0.1805
7,34,-0.0,-0.0301,-0.0
7,35,-0.0,-0.0201,0.01
7,36,-0.0201,0.0702,0.0903
7,37,-0.0401,0.1605,0.1705
7,38,-0.0201,0.0501,0.0702
7,39,-0.0301,0.1103,0.1204
7,40,-0.0501,0.1805,0.1906
7,41,-0.0201,0.0501,0.0602
7,42,-0.0201,0.0401,0.0501
7,43,-0.0401,0.0602,0.0602
7,44,-0.0401,0.0602,0.0702
7,45,-0.0301,0.0501,0.0401
7,46,-0.0401,0.0501,0.0401
7,47,-0.0201,0.0301,0.0201
7,48,-0.01,0.0301,0.0301
7,49,0.0,0.01,0.01
7,50,-0.0,-0.0201,-0.0501
7,51,-0.0201,0.0201,-0.01
7,52,0.0301,-0.1103,-0.1404
7,53,0.0,-0.0201,0.0
8,1,0.0199,0.1295,-0.0299
8,2,0.0199,0.1893,-0.0598
8,3,0.0498,0.1494,-0.0498
8,4,0.0797,0.2391,-0.0996
8,5,0.0498,0.0598,0.01
8,6,0.0697,0.0697,-0.0
8,7,0.0199,-0.0398,0.0697
8,8,0.0199,-0.1096,0.1096
8,9,-0.01,-0.0398,0.0697
8,10,-0.0199,-0.0797,0.0897
