Mode,AtomIndex,dx,dy,dz
9,4,0.04,-0.03,0.06
9,5,0.03,-0.01,0.05
9,6,0.04,-0.03,0.06
9,7,0.02,0.02,0.03
9,8,0.02,0.02,0.03
9,9,0.01,0.04,0.01
9,10,0.01,0.03,0.01
9,11,0.02,0.01,0.03
9,12,0.03,-0.01,0.05
9,13,0.06,-0.05,0.09
9,14,0.13,-0.16,0.18
9,15,0.17,-0.23,0.24
9,16,0.11,-0.15,0.15
9,17,0.14,-0.2,0.19
9,18,0.06,-0.06,0.06
9,19,0.03,-0.01,0.02
9,20,-0.01,0.05,-0.04
9,21,0.01,0.04,0.01
9,22,0.01,0.03,0.01
9,23,0.02,0.02,-0.04
9,24,0.04,0.01,0.04
9,25,-0.03,0.16,-0.18
9,26,0.03,-0.03,0.01
9,27,-0.03,-0.01,-0.05
9,28,-0.04,-0.03,-0.06
9,29,-0.02,0.02,-0.02
9,30,-0.01,0.02,-0.02
9,31,-0.03,-0.01,-0.04
9,32,-0.04,-0.03,-0.06
9,33,-0.02,0.02,-0.03
9,34,-0.02,0.02,-0.03
9,35,-0.01,0.04,-0.01
9,36,-0.01,0.03,-0.01
9,37,-0.02,0.01,-0.03
9,38,-0.03,-0.01,-0.05
9,39,-0.06,-0.05,-0.09
9,40,-0.13,-0.16,-0.18
9,41,-0.17,-0.23,-0.24
9,42,-0.11,-0.15,-0.15
9,43,-0.14,-0.2,-0.19
9,44,-0.06,-0.06,-0.06
9,45,-0.03,-0.01,-0.02
9,46,0.01,0.05,0.04
9,47,-0.01,0.04,-0.01
9,48,-0.01,0.03,-0.01
9,49,-0.02,0.02,0.04
9,50,-0.04,0.01,-0.04
9,51,0.03,0.16,0.18
9,52,-0.03,-0.03,-0.01
9,53,0.0,0.05,0.0
10,1,-0.1092,0.0596,0.0894
10,2,-0.0794,0.1191,0.1092
10,3,-0.1787,0.0496,0.1092
10,4,-0.2085,0.0894,0.139
10,5,-0.1986,-0.0199,0.0894
10,6,-0.2482,-0.0298,0.1092
10,7,-0.1589,-0.0695,0.0496
10,8,-0.1787,-0.1291,0.0298
10,9,-0.0894,-0.0397,0.0298
10,10,-0.0496,-0.0596,-0.0
10,11,-0.0596,-0.0993,-0.0199
10,12,-0.0099,-0.0199,-0.0099
10,13,-0.0199,-0.0298,0.0
10,14,-0.0397,-0.0496,0.0397
10,15,-0.0596,-0.0695,0.0397
10,16,-0.0496,-0.0298,0.0596
10,17,-0.0596,-0.0298,0.0695
10,18,-0.0298,0.0,0.0496
10,19,-0.0099,0.0099,0.0099
10,20,0.0099,0.0298,0.0099
10,21,-0.0695,0.0099,0.0496
10,22,-0.0099,-0.0199,-0.0199
10,23,-0.0397,0.0596,0.0695
10,24,-0.0199,-0.0199,-0.0099
10,25,-0.0894,0.0794,0.0894
10,26,0.0099,0.0794,0.0794
10,27,0.1986,-0.0199,-0.0894
10,28,0.2482,-0.0298,-0.1092
10,29,0.1092,0.0596,-0.0894
10,30,0.0794,0.1191,-0.1092
10,31,0.1787,0.0496,-0.1092
10,32,0.2085,0.0894,-0.139
10,33,0.1589,-0.0695,-0.0496
10,34,0.1787,-0.1291,-0.0298
10,35,0.0894,-0.0397,-0.0298
10,36,0.0496,-0.0596,0.0
10,37,0.0596,-0.0993,0.0199
10,38,0.0099,-0.0199,0.0099
10,39,0.0199,-0.0298,-0.0
10,40,0.0397,-0.0496,-0.0397
10,41,0.0596,-0.0695,-0.0397
10,42,0.0496,-0.0298,-0.0596
10,43,0.0596,-0.0298,-0.0695
10,44,0.0298,0.0,-0.0496
10,45,0.0099,0.0099,-0.0099
10,46,-0.0099,0.0298,-0.0099
10,47,0.0695,0.0099,-0.0496
10,48,0.0099,-0.0199,0.0199
10,49,0.0397,0.0596,-0.0695
10,50,0.0199,-0.0199,0.0099
10,51,0.0894,0.0794,-0.0894
10,52,-0.0099,0.0794,-0.0794
10,53,-0.0,-0.0099,-0.0
11,1,0.0598,-0.0399,-0.0698
11,2,0.0199,-0.0897,-0.1097
11,3,0.1296,-0.01,-0.1097
11,4,0.1496,-0.0299,-0.1695
11,5,0.1695,0.0399,-0.0698
11,6,0.2293,0.0698,-0.0897
11,7,0.1396,0.0598,0.01
11,8,0.1695,0.1097,0.0499
11,9,0.0499,0.0299,0.0399
11,10,0.01,0.0499,0.0798
11,11,0.0299,0.0798,0.1196
11,12,-0.0598,0.0299,0.0798
11,13,-0.0399,0.0399,0.0698
11,14,-0.01,0.0499,0.0299
11,15,0.0299,0.0798,0.0299
11,16,-0.0,0.0199,-0.01
11,17,0.0199,0.0199,-0.0299
11,18,-0.0399,-0.01,-0.0
11,19,-0.0798,-0.01,0.0399
11,20,-0.1097,-0.0399,0.0399
11,21,0.0199,-0.01,0.0
11,22,-0.0499,0.0299,0.0798
11,23,-0.0499,-0.0997,-0.0798
11,24,-0.0399,0.0399,0.0798
11,25,0.0399,-0.1196,-0.1396
11,26,-0.1396,-0.1496,-0.0997
11,27,0.1695,-0.0399,-0.0698
11,28,0.2293,-0.0698,-0.0897
11,29,0.0598,0.0399,-0.0698
11,30,0.0199,0.0897,-0.1097
11,31,0.1296,0.01,-0.1097
11,32,0.1496,0.0299,-0.1695
11,33,0.1396,-0.0598,0.01
11,34,0.1695,-0.1097,0.0499
11,35,0.0499,-0.0299,0.0399
11,36,0.01,-0.0499,0.0798
11,37,0.0299,-0.0798,0.1196
11,38,-0.0598,-0.0299,0.0798
11,39,-0.0399,-0.0399,0.0698
11,40,-0.01,-0.0499,0.0299
11,41,0.0299,-0.0798,0.0299
11,42,-0.0,-0.0199,-0.01
11,43,0.0199,-0.0199,-0.0299
11,44,-0.0399,0.01,-0.0
11,45,-0.0798,0.01,0.0399
11,46,-0.1097,0.0399,0.0399
11,47,0.0199,0.01,0.0
11,48,-0.0499,-0.0299,0.0798
11,49,-0.0499,0.0997,-0.0798
11,50,-0.0399,-0.0399,0.0798
11,51,0.0399,0.1196,-0.1396
11,52,-0.1396,0.1496,-0.0997
11,53,-0.0399,0.0,0.0598
12,1,-0.05,0.1301,-0.06
12,2,-0.07,0.2001,-0.1101
12,3,-0.01,0.03,0.02
12,4,-0.02,0.04,0.02
12,5,0.03,-0.08,0.1001
12,6,0.07,-0.1901,0.1801
12,7,0.02,-0.06,0.07
12,8,0.05,-0.1301,0.1201
12,9,-0.02,0.06,-0.02
12,10,-0.03,0.09,-0.05
12,11,-0.06,0.1301,-0.09
12,12,-0.03,0.1001,-0.06
12,13,0.02,-0.0,0.03
12,14,0.01,0.04,-0.01
12,15,0.03,-0.0,0.03
12,16,-0.02,0.09,-0.06
12,17,-0.01,0.08,-0.06
12,18,-0.04,0.1201,-0.1001
12,19,-0.05,0.1401,-0.1101
12,20,-0.07,0.1501,-0.1301
12,21,-0.04,0.1101,-0.06
12,22,-0.02,0.07,-0.03
12,23,0.02,-0.01,0.0
12,24,0.08,-0.1301,0.1501
12,25,0.05,-0.06,0.03
12,26,0.04,-0.09,0.07
12,27,0.03,0.08,0.1001
12,28,0.07,0.1901,0.1801
12,29,-0.05,-0.1301,-0.06
12,30,-0.07,-0.2001,-0.1101
12,31,-0.01,-0.03,0.02
12,32,-0.02,-0.04,0.02
12,33,0.02,0.06,0.07
12,34,0.05,0.1301,0.1201
12,35,-0.02,-0.06,-0.02
12,36,-0.03,-0.09,-0.05
12,37,-0.06,-0.1301,-0.09
12,38,-0.03,-0.1001,-0.06
12,39,0.02,0.0,0.03
12,40,0.01,-0.04,-0.01
12,41,0.03,0.0,0.03
12,42,-0.02,-0.09,-0.06
12,43,-0.01,-0.08,-0.06
12,44,-0.04,-0.1201,-0.1001
12,45,-0.05,-0.1401,-0.1101
12,46,-0.07,-0.1501,-0.1301
12,47,-0.04,-0.1101,-0.06
12,48,-0.02,-0.07,-0.03
12,49,0.02,0.01,0.0
12,50,0.08,0.1301,0.1501
12,51,0.05,0.06,0.03
12,52,0.04,0.09,0.07
12,53,0.01,0.0,0.02
13,1,-0.0298,0.0398,-0.0995
13,2,-0.0597,0.0696,-0.1393
13,3,-0.0099,0.0298,-0.0995
13,4,-0.0298,0.0796,-0.1393
13,5,0.0298,-0.0497,-0.0099
13,6,0.0597,-0.0895,0.0099
13,7,0.0398,-0.0796,0.0298
13,8,0.0696,-0.1194,0.0796
13,9,0.0,-0.0398,-0.0099
13,10,-0.0199,0.0199,-0.0497
13,11,-0.0398,0.0497,-0.0696
13,12,-0.0597,0.1094,-0.1293
13,13,-0.0099,0.0,-0.0298
13,14,0.0199,-0.0796,0.0497
13,15,0.0597,-0.189,0.1393
13,16,0.0,-0.0497,0.0298
13,17,0.0398,-0.1293,0.1094
13,18,-0.0497,0.0796,-0.0796
13,19,-0.0895,0.1691,-0.1691
13,20,-0.1094,0.2288,-0.2288
13,21,-0.0099,-0.0099,-0.0398
13,22,-0.0298,0.0497,-0.0796
13,23,-0.0099,0.0,0.0099
13,24,0.0099,-0.0497,0.0099
13,25,-0.0199,-0.0099,0.0298
13,26,0.0398,-0.0597,0.0796
13,27,-0.0298,-0.0497,0.0099
13,28,-0.0597,-0.0895,-0.0099
13,29,0.0298,0.0398,0.0995
13,30,0.0597,0.0696,0.1393
13,31,0.0099,0.0298,0.0995
13,32,0.0298,0.0796,0.1393
13,33,-0.0398,-0.0796,-0.0298
13,34,-0.0696,-0.1194,-0.0796
13,35,-0.0,-0.0398,0.0099
13,36,0.0199,0.0199,0.0497
13,37,0.0398,0.0497,0.0696
13,38,0.0597,0.1094,0.1293
13,39,0.0099,0.0,0.0298
13,40,-0.0199,-0.0796,-0.0497
13,41,-0.0597,-0.189,-0.1393
13,42,-0.0,-0.0497,-0.0298
13,43,-0.0398,-0.1293,-0.1094
13,44,0.0497,0.0796,0.0796
13,45,0.0895,0.1691,0.1691
13,46,0.1094,0.2288,0.2288
13,47,0.0099,-0.0099,0.0398
13,48,0.0298,0.0497,0.0796
13,49,0.0099,0.0,-0.0099
13,50,-0.0099,-0.0497,-0.0099
13,51,0.0199,-0.0099,-0.0298
13,52,-0.0398,-0.0597,-0.0796
13,53,-0.0,-0.0099,-0.0
14,1,-0.01,0.05,0.03
14,2,-0.01,0.0599,0.03
14,3,-0.01,0.04,0.04
14,4,-0.01,0.05,0.04
14,5,-0.01,0.02,0.05
14,6,-0.01,0.01,0.0599
14,7,0.0,0.02,0.04
14,8,-0.0,0.0,0.04
14,9,0.0,0.03,0.03
14,10,-0.01,0.05,0.04
14,11,-0.01,0.0799,0.05
14,12,-0.1299,0.05,0.0799
14,13,-0.1299,0.04,0.0899
14,14,-0.1099,0.02,0.0999
14,15,-0.0999,0.01,0.1199
14,16,-0.1099,0.01,0.0899
14,17,-0.0899,-0.01,0.0999
14,18,-0.1399,0.01,0.0699
14,19,-0.1599,0.04,0.0699
14,20,-0.1698,0.04,0.0699
14,21,0.0,0.04,0.02
14,22,-0.0599,0.03,0.05
14,23,-0.1599,-0.0999,-0.03
14,24,-0.1299,0.03,0.0699
14,25,-0.04,-0.1299,-0.1199
14,26,-0.2997,-0.1898,-0.05
14,27,0.01,0.02,-0.05
14,28,0.01,0.01,-0.0599
